,"(mm) Precipitation (gridMET),  ,2014-01-01 to 2024-11-25","(deg C) Mean Temperature (gridMET),  ,2014-01-01 to 2024-11-25"
"2014-03-08",0,1.0592
"2014-03-09",0.2022,2.5998
"2014-03-10",9.5058,2.5812
"2014-03-11",2.7687,-2.7935
"2014-03-12",0.1077,-1.1253
"2014-03-13",0.1073,0.115
"2014-03-14",3.4285,0.8148
"2014-03-15",0,0.5351
"2014-03-16",0.241,2.7565
"2014-03-17",9.6499,-0.3869
"2014-03-18",0.7425,-5.0873
"2014-03-19",0.5252,-4.1908
"2014-03-20",0.1073,1.3031
"2014-03-21",0,-2.026
"2014-03-22",0,-1.3038
"2014-03-23",0,-0.6451
"2014-03-24",0.2437,1.5494
"2014-03-25",0.1073,4.7166
"2014-03-26",2.8428,0.7847
"2014-03-27",17.5085,-0.9602
"2014-03-28",2.9001,-0.3061
"2014-03-29",0.1761,2.1538
"2014-03-30",26.0897,0.2504
"2014-03-31",1.8031,-1.2897
"2014-04-01",12.1999,-2.0198
"2014-04-02",0.1527,-3.0699
"2014-04-03",0.2495,-1.6229
"2014-04-04",0,-0.2257
"2014-04-05",0.7831,0.74
"2014-04-06",7.7856,0.4306
"2014-04-07",0.2312,2.8127
"2014-04-08",0.0221,6.4602
"2014-04-09",0,8.2325
"2014-04-10",0,6.6293
"2014-04-11",0,7.6597
"2014-04-12",0,5.7206
"2014-04-13",0.0122,-1.1572
"2014-04-14",0,-1.1333
"2014-04-15",0,3.5272
"2014-04-16",0,1.5062
"2014-04-17",0,4.3833
"2014-04-18",3.8058,5.6093
"2014-04-19",0,6.6268
"2014-04-20",0,6.6233
"2014-04-21",0.2602,7.2105
"2014-04-22",5.418,6.0353
"2014-04-23",3.0854,-0.663
"2014-04-24",0.0253,2.1655
"2014-04-25",8.7585,5.3641
"2014-04-26",15.8011,0.083
"2014-04-27",4.7918,-0.3742
"2014-04-28",4.6342,-1.5668
"2014-04-29",0.066,-0.1646
"2014-04-30",0,3.5199
"2014-05-01",0.0911,6.624
"2014-05-02",0,9.0206
"2014-05-03",0,11.4201
"2014-05-04",0,10.1122
"2014-05-05",0,8.3752
"2014-05-06",2.9941,6.2301
"2014-05-07",7.1144,2.8858
"2014-05-08",0.3565,3.273
"2014-05-09",25.0011,3.5411
"2014-05-10",3.1352,2.9973
"2014-05-11",0.0414,2.6362
"2014-05-12",1.1165,1.1106
"2014-05-13",0,3.1852
"2014-05-14",0,6.1261
"2014-05-15",0,9.5373
"2014-05-16",0,11.5242
"2014-05-17",0,11.1351
"2014-05-18",0,9.302
"2014-05-19",0,7.5279
"2014-05-20",0,9.3805
"2014-05-21",0,10.4596
"2014-05-22",0,12.1985
"2014-05-23",0.083,12.1042
"2014-05-24",3.9401,9.8671
"2014-05-25",0,11.1625
"2014-05-26",0,13.105
"2014-05-27",0,14.6215
"2014-05-28",0,15.4181
"2014-05-29",0,11.2888
"2014-05-30",0,13.4037
"2014-05-31",0,13.3892
"2014-06-01",0,9.7414
"2014-06-02",0.0758,12.8268
"2014-06-03",0.0758,13.1627
"2014-06-04",0,11.9552
"2014-06-05",0,11.829
"2014-06-06",0,13.0581
"2014-06-07",0,11.8936
"2014-06-08",0,10.3711
"2014-06-09",0,11.7241
"2014-06-10",0,14.0917
"2014-06-11",0,12.1105
"2014-06-12",0,14.5804
"2014-06-13",0,11.5845
"2014-06-14",0,5.9646
"2014-06-15",0,8.3236
"2014-06-16",7.049,8.6045
"2014-06-17",9.3963,1.8818
"2014-06-18",0.7405,2.8117
"2014-06-19",0.2732,8.1724
"2014-06-20",0,13.7039
"2014-06-21",0,14.8886
"2014-06-22",0,14.402
"2014-06-23",0,14.5244
"2014-06-24",0,16.3389
"2014-06-25",0.0025,16.4847
"2014-06-26",3.1503,12.2667
"2014-06-27",13.5826,8.7738
"2014-06-28",0,10.8204
"2014-06-29",0,13.4263
"2014-06-30",0,12.1671
"2014-07-01",0,13.8044
"2014-07-02",0,16.1342
"2014-07-03",0,18.6651
"2014-07-04",0,18.1882
"2014-07-05",0,19.1076
"2014-07-06",0,19.6593
"2014-07-07",0,19.3668
"2014-07-08",0,18.5256
"2014-07-09",0,19.5537
"2014-07-10",0.3193,17.8357
"2014-07-11",0,15.2281
"2014-07-12",0,17.4844
"2014-07-13",0,18.8263
"2014-07-14",0,20.057
"2014-07-15",0,18.4063
"2014-07-16",0,16.0204
"2014-07-17",0,16.6369
"2014-07-18",0,18.1439
"2014-07-19",0,17.87
"2014-07-20",0,17.6954
"2014-07-21",0,17.3411
"2014-07-22",0,18.2131
"2014-07-23",0,20.7132
"2014-07-24",0,17.6925
"2014-07-25",0,16.8867
"2014-07-26",0,17.5559
"2014-07-27",0,19.6206
"2014-07-28",0.6435,18.1343
"2014-07-29",21.2298,12.4139
"2014-07-30",2.6854,11.5921
"2014-07-31",0,13.9144
"2014-08-01",0,16.9382
"2014-08-02",0,17.8735
"2014-08-03",0.0711,17.9815
"2014-08-04",8.6189,15.4935
"2014-08-05",9.5132,14.0402
"2014-08-06",1.4559,13.8904
"2014-08-07",1.0981,13.7259
"2014-08-08",1.5301,13.8751
"2014-08-09",0.3418,14.4331
"2014-08-10",0,16.2264
"2014-08-11",0,18.217
"2014-08-12",3.9114,16.2786
"2014-08-13",8.1299,14.7216
"2014-08-14",0.0827,15.6469
"2014-08-15",0.3002,16.3745
"2014-08-16",0,16.2451
"2014-08-17",0.0677,17.3811
"2014-08-18",0.0221,17.9264
"2014-08-19",0.1804,13.4754
"2014-08-20",13.4172,13.7453
"2014-08-21",6.1707,12.525
"2014-08-22",27.5168,9.7754
"2014-08-23",4.5559,7.7318
"2014-08-24",0.6604,9.9923
"2014-08-25",8.0994,10.728
"2014-08-26",2.4938,12.4273
"2014-08-27",0.3507,11.8797
"2014-08-28",0,13.6589
"2014-08-29",0,15.0607
"2014-08-30",0.4027,13.3769
"2014-08-31",3.2707,9.5798
"2014-09-01",0,10.677
"2014-09-02",0,13.1543
"2014-09-03",0,13.1703
"2014-09-04",0.4426,9.7547
"2014-09-05",0,12.3618
"2014-09-06",0,14.3683
"2014-09-07",0.012,15.3688
"2014-09-08",1.1323,14.3629
"2014-09-09",2.8544,11.6632
"2014-09-10",0.0885,10.0558
"2014-09-11",0.0732,5.9881
"2014-09-12",0.6812,6.2176
"2014-09-13",0,12.2061
"2014-09-14",0,14.9642
"2014-09-15",0,15.9637
"2014-09-16",0,16.7504
"2014-09-17",0,17.9889
"2014-09-18",2.3671,16.1705
"2014-09-19",0.8889,13.6865
"2014-09-20",0,14.5991
"2014-09-21",1.5559,10.3539
"2014-09-22",1.0488,11.5447
"2014-09-23",0,13.062
"2014-09-24",0,15.9513
"2014-09-25",0,16.772
"2014-09-26",1.8728,15.7214
"2014-09-27",45.3852,8.3963
"2014-09-28",17.5682,6.6693
"2014-09-29",4.068,6.679
"2014-09-30",19.551,3.2939
"2014-10-01",0.8788,1.8546
"2014-10-02",0.9901,3.461
"2014-10-03",0,6.1301
"2014-10-04",1.0282,7.6642
"2014-10-05",0.0869,8.9023
"2014-10-06",0.0335,10.1488
"2014-10-07",0,10.8872
"2014-10-08",0,10.9966
"2014-10-09",0,10.6972
"2014-10-10",0.0305,9.6546
"2014-10-11",2.6651,6.9513
"2014-10-12",2.1548,2.6689
"2014-10-13",0,3.7311
"2014-10-14",0.1015,8.7522
"2014-10-15",0,8.3669
"2014-10-16",0,5.5319
"2014-10-17",0,8.559
"2014-10-18",0,9.7658
"2014-10-19",0,9.6517
"2014-10-20",0,10.8525
"2014-10-21",0.7754,4.2996
"2014-10-22",0,3.0874
"2014-10-23",0.0567,7.2813
"2014-10-24",0,10.3405
"2014-10-25",2.9395,10.7295
"2014-10-26",1.3458,3.3108
"2014-10-27",0.6995,-0.6875
"2014-10-28",0.2542,0.9568
"2014-10-29",0.289,4.4994
"2014-10-30",0.2016,8.0641
"2014-10-31",0.1245,9.5308
"2014-11-01",0.702,6.6623
"2014-11-02",0.4583,-0.5085
"2014-11-03",0,-2.1462
"2014-11-04",0.665,-0.9198
"2014-11-05",0,3.542
"2014-11-06",0.0887,6.5174
"2014-11-07",0,4.4231
"2014-11-08",0.3857,4.156
"2014-11-09",0,5.7271
"2014-11-10",0,-0.3491
"2014-11-11",0.0095,-8.3609
"2014-11-12",0.1052,-14.5346
"2014-11-13",8.8266,-10.1627
"2014-11-14",39.1634,-2.486
"2014-11-15",0,-11.8888
"2014-11-16",0,-13.2405
"2014-11-17",0.1082,-9.8727
"2014-11-18",1.468,-6.2277
"2014-11-19",0.5683,-1.7549
"2014-11-20",0.0495,-0.361
"2014-11-21",0.2736,0.1196
"2014-11-22",27.2606,-1.1089
"2014-11-23",16.6107,-4.6378
"2014-11-24",7.5126,-5.6896
"2014-11-25",16.7619,-2.0873
"2014-11-26",0.1071,2.4117
"2014-11-27",0.0261,3.8969
"2014-11-28",0,5.9981
"2014-11-29",0.3403,3.0392
"2014-11-30",7.3321,-1.5742
"2014-12-01",5.8684,-0.4115
"2014-12-02",0,1.8509
"2014-12-03",1.9178,0.3141
"2014-12-04",0,2.1466
"2014-12-05",1.3232,2.6913
"2014-12-06",0,2.597
"2014-12-07",0,2.5678
"2014-12-08",0,2.5667
"2014-12-09",0,3.5298
"2014-12-10",0,4.1663
"2014-12-11",0.1006,3.8334
"2014-12-12",0.0991,4.9719
"2014-12-13",6.2379,-0.4512
"2014-12-14",0,-4.7893
"2014-12-15",0,-4.9914
"2014-12-16",0.1052,-3.3121
"2014-12-17",0.0115,-2.7566
"2014-12-18",0,-4.0225
"2014-12-19",3.7968,-2.4262
"2014-12-20",9.7984,-1.4379
"2014-12-21",49.0745,0.0991
"2014-12-22",10.37,-4.7855
"2014-12-23",0.2385,-7.6455
"2014-12-24",4.3948,-4.553
"2014-12-25",7.5331,-5.8813
"2014-12-26",2.2748,-10.8714
"2014-12-27",0.0802,-12.2512
"2014-12-28",11.1427,-9.1119
"2014-12-29",2.0077,-13.9631
"2014-12-30",0.1727,-19.4302
"2014-12-31",2.2153,-14.8928
"2015-01-01",1.285,-9.1138
"2015-01-02",0,-8.0455
"2015-01-03",0.6599,-7.3614
"2015-01-04",0.819,-4.2911
"2015-01-05",6.1221,-0.2462
"2015-01-06",0.2115,1.636
"2015-01-07",0,3.2365
"2015-01-08",0,1.5409
"2015-01-09",0,-1.5804
"2015-01-10",0.3226,-0.3981
"2015-01-11",3.144,-0.1888
"2015-01-12",7.7233,-0.666
"2015-01-13",1.1609,-4.6247
"2015-01-14",0,-8.5243
"2015-01-15",0,-6.482
"2015-01-16",11.5174,-3.7496
"2015-01-17",1.0497,-3.1511
"2015-01-18",0.2964,1.6488
"2015-01-19",0,-0.0622
"2015-01-20",0,-4.2424
"2015-01-21",0,-6.1134
"2015-01-22",0,-6.8517
"2015-01-23",0,-5.0521
"2015-01-24",0,-4.6356
"2015-01-25",0,1.0726
"2015-01-26",0,5.2813
"2015-01-27",5.5696,2.9587
"2015-01-28",6.8146,-0.4572
"2015-01-29",0.0947,-1.1091
"2015-01-30",0.0099,-0.7073
"2015-01-31",0,-1.7489
"2015-02-01",0.9097,-3.3636
"2015-02-02",11.1838,0.6973
"2015-02-03",22.4174,2.3253
"2015-02-04",9.0523,1.2811
"2015-02-05",0,3.9938
"2015-02-06",0,5.6281
"2015-02-07",0.2199,5.1669
"2015-02-08",0.1417,4.2153
"2015-02-09",10.3343,2.482
"2015-02-10",0.2252,-1.1233
"2015-02-11",0.0515,0.4188
"2015-02-12",0.0274,2.8601
"2015-02-13",0,4.5767
"2015-02-14",0,5.0873
"2015-02-15",0,0.1568
"2015-02-16",0.0069,-3.3782
"2015-02-17",0,-4.5372
"2015-02-18",0,0.3187
"2015-02-19",0,3.1353
"2015-02-20",1.4504,-0.7689
"2015-02-21",3.0077,-5.117
"2015-02-22",1.6716,-11.052
"2015-02-23",0.0415,-9.5608
"2015-02-24",0.1278,-2.2768
"2015-02-25",0.0415,-1.6224
"2015-02-26",0.264,-5.6173
"2015-02-27",0.6352,-5.6653
"2015-02-28",0.0277,-5.1817
"2015-03-01",0,-4.0561
"2015-03-02",3.2136,-3.0718
"2015-03-03",6.6647,-5.8529
"2015-03-04",1.5382,-7.1715
"2015-03-05",0.3111,-4.2787
"2015-03-06",0.0291,0.5337
"2015-03-07",0.0803,3.4481
"2015-03-08",0.0263,2.8748
"2015-03-09",0,2.1686
"2015-03-10",0.0328,4.0812
"2015-03-11",0.2539,5.3011
"2015-03-12",0.7328,4.1597
"2015-03-13",0,5.415
"2015-03-14",0.1176,5.342
"2015-03-15",0,8.6682
"2015-03-16",0,9.5093
"2015-03-17",0,7.8354
"2015-03-18",0,3.5602
"2015-03-19",0,3.1122
"2015-03-20",0,5.7801
"2015-03-21",0,6.7054
"2015-03-22",0,4.734
"2015-03-23",14.177,0.7363
"2015-03-24",21.1667,-1.8094
"2015-03-25",0.17,-1.6788
"2015-03-26",0,2.6951
"2015-03-27",0,7.2691
"2015-03-28",0,6.4215
"2015-03-29",0,4.7376
"2015-03-30",0,7.8335
"2015-03-31",0,8.5071
"2015-04-01",0,0.3408
"2015-04-02",0,-2.212
"2015-04-03",0,-1.793
"2015-04-04",0,2.9976
"2015-04-05",0,5.4725
"2015-04-06",0,2.0815
"2015-04-07",0.6098,2.3311
"2015-04-08",3.4176,1.363
"2015-04-09",0.1235,2.6287
"2015-04-10",0,4.1816
"2015-04-11",3.6745,5.5191
"2015-04-12",0.6276,1.2484
"2015-04-13",0.0864,5.5537
"2015-04-14",4.1281,4.299
"2015-04-15",10.4803,-3.4931
"2015-04-16",0.1968,2.1137
"2015-04-17",0.2464,5.1564
"2015-04-18",0,6.5389
"2015-04-19",0,5.8564
"2015-04-20",0,6.5374
"2015-04-21",0,8.135
"2015-04-22",0.0966,9.3972
"2015-04-23",0.7443,6.5158
"2015-04-24",11.7067,5.576
"2015-04-25",9.3086,2.7319
"2015-04-26",7.2273,1.7053
"2015-04-27",0.1253,5.313
"2015-04-28",0,8.4653
"2015-04-29",0,10.3973
"2015-04-30",0,8.1718
"2015-05-01",0,9.2426
"2015-05-02",0.048,10.807
"2015-05-03",0.3178,10.4282
"2015-05-04",0.8555,9.3452
"2015-05-05",0.6578,8.8524
"2015-05-06",8.7267,6.8296
"2015-05-07",17.8524,6.0839
"2015-05-08",3.032,6.0545
"2015-05-09",17.4503,1.9738
"2015-05-10",0,3.4331
"2015-05-11",0.1564,6.2103
"2015-05-12",0,9.9995
"2015-05-13",0,9.538
"2015-05-14",1.7162,8.0049
"2015-05-15",5.5299,3.3029
"2015-05-16",17.2091,1.2529
"2015-05-17",0.2131,5.2047
"2015-05-18",16.8294,6.6803
"2015-05-19",12.2984,4.3004
"2015-05-20",3.9678,5.9115
"2015-05-21",4.25,7.2853
"2015-05-22",7.8182,6.8839
"2015-05-23",14.3169,5.7571
"2015-05-24",3.5871,6.401
"2015-05-25",1.2729,8.0765
"2015-05-26",2.0305,6.8395
"2015-05-27",6.6454,7.5778
"2015-05-28",4.8458,6.46
"2015-05-29",0.448,9.192
"2015-05-30",0.0542,12.1784
"2015-05-31",0,15.2786
"2015-06-01",0,14.3528
"2015-06-02",0,12.1322
"2015-06-03",5.4254,11.8306
"2015-06-04",0,11.2891
"2015-06-05",0.0153,11.6318
"2015-06-06",0,10.1917
"2015-06-07",0.0494,11.6758
"2015-06-08",0,14.2114
"2015-06-09",0,15.4896
"2015-06-10",4.6513,14.226
"2015-06-11",0.0721,13.2089
"2015-06-12",0.0551,14.5196
"2015-06-13",0.0738,13.8817
"2015-06-14",0,14.9767
"2015-06-15",0,15.84
"2015-06-16",0,15.6517
"2015-06-17",0,16.3561
"2015-06-18",0,18.0971
"2015-06-19",0,16.7121
"2015-06-20",0,15.3764
"2015-06-21",0,16.9012
"2015-06-22",0,15.5585
"2015-06-23",0,16.9752
"2015-06-24",0,18.2727
"2015-06-25",0,18.544
"2015-06-26",0,18.6815
"2015-06-27",0,20.5052
"2015-06-28",0,21.3865
"2015-06-29",0,21.4354
"2015-06-30",0,21.0667
"2015-07-01",0,19.9051
"2015-07-02",0,19.8382
"2015-07-03",0,19.5286
"2015-07-04",0.0467,20.4992
"2015-07-05",4.4981,14.739
"2015-07-06",1.8004,15.5302
"2015-07-07",3.875,14.2882
"2015-07-08",7.3992,12.1284
"2015-07-09",1.0314,14.0305
"2015-07-10",0.7626,13.1037
"2015-07-11",0,14.0485
"2015-07-12",0,14.9492
"2015-07-13",0,15.2614
"2015-07-14",0.0291,16.3419
"2015-07-15",0.0363,14.6755
"2015-07-16",0.0008,15.6418
"2015-07-17",1.3437,13.3339
"2015-07-18",7.0119,11.3088
"2015-07-19",1.2461,12.2472
"2015-07-20",1.5407,11.6422
"2015-07-21",0.449,14.2543
"2015-07-22",0.4901,15.0589
"2015-07-23",0.3548,14.541
"2015-07-24",0,15.547
"2015-07-25",0.1739,15.6413
"2015-07-26",0,17.4358
"2015-07-27",3.0559,10.1602
"2015-07-28",0.4065,8.9404
"2015-07-29",0,12.3548
"2015-07-30",0,15.6006
"2015-07-31",0,17.4275
"2015-08-01",0,18.427
"2015-08-02",0.1813,19.7887
"2015-08-03",18.775,12.2191
"2015-08-04",0.2338,15.0381
"2015-08-05",1.1545,14.8164
"2015-08-06",0,13.7592
"2015-08-07",3.2888,12.5437
"2015-08-08",2.7454,11.591
"2015-08-09",0.6965,13.2942
"2015-08-10",1.1262,15.9635
"2015-08-11",2.1101,17.6965
"2015-08-12",0,16.9634
"2015-08-13",0,18.6807
"2015-08-14",0.3315,19.2798
"2015-08-15",0.0792,17.7083
"2015-08-16",1.1802,16.356
"2015-08-17",0.1569,14.9472
"2015-08-18",0,12.7297
"2015-08-19",0,13.2006
"2015-08-20",0,14.5964
"2015-08-21",0,16.3742
"2015-08-22",0,13.126
"2015-08-23",0.2317,14.7228
"2015-08-24",0,19.0501
"2015-08-25",0,20.2856
"2015-08-26",4.7789,14.0243
"2015-08-27",4.2028,15.1129
"2015-08-28",0,16.8262
"2015-08-29",0,18.4986
"2015-08-30",0.6666,15.3742
"2015-08-31",0.3708,14.2583
"2015-09-01",0.0002,16.7917
"2015-09-02",0,17.3836
"2015-09-03",0,16.2653
"2015-09-04",1.093,15.7398
"2015-09-05",2.7534,8.673
"2015-09-06",1.2176,7.4884
"2015-09-07",0.2287,10.5964
"2015-09-08",0.1421,11.5725
"2015-09-09",0,14.0627
"2015-09-10",0,15.3051
"2015-09-11",0,16.4549
"2015-09-12",0,16.7794
"2015-09-13",0,16.7324
"2015-09-14",5.1598,13.032
"2015-09-15",14.8417,9.0641
"2015-09-16",30.077,5.4001
"2015-09-17",5.7816,5.2141
"2015-09-18",0.8952,6.3403
"2015-09-19",0,8.1129
"2015-09-20",0,11.0778
"2015-09-21",0,13.9999
"2015-09-22",0,15.9192
"2015-09-23",0,15.5615
"2015-09-24",0,16.3156
"2015-09-25",0,17.4142
"2015-09-26",0,16.7436
"2015-09-27",0.0043,16.0586
"2015-09-28",0.8236,14.0578
"2015-09-29",0,14.6085
"2015-09-30",0,15.5446
"2015-10-01",3.4547,15.0444
"2015-10-02",6.5055,8.2043
"2015-10-03",6.1675,8.1737
"2015-10-04",1.1602,8.9023
"2015-10-05",0.4326,10.1887
"2015-10-06",6.6635,9.0565
"2015-10-07",0.2032,9.5587
"2015-10-08",0,10.8646
"2015-10-09",0.0503,11.2871
"2015-10-10",0,12.9065
"2015-10-11",0,9.2541
"2015-10-12",0,9.7453
"2015-10-13",0,11.8414
"2015-10-14",0,12.1997
"2015-10-15",0,12.3911
"2015-10-16",0.2248,11.745
"2015-10-17",1.5719,10.9874
"2015-10-18",3.0913,10.6334
"2015-10-19",4.146,6.1521
"2015-10-20",1.0624,5.1848
"2015-10-21",0.1032,5.3689
"2015-10-22",0.639,5.7609
"2015-10-23",0.3859,4.8287
"2015-10-24",0,6.4489
"2015-10-25",0,7.0747
"2015-10-26",0,5.5064
"2015-10-27",0.4442,1.598
"2015-10-28",0,1.9971
"2015-10-29",2.3792,1.208
"2015-10-30",1.2966,0.4063
"2015-10-31",1.4322,5.1839
"2015-11-01",4.6974,6.2998
"2015-11-02",0.3783,6.2434
"2015-11-03",10.5401,2.9517
"2015-11-04",0.9039,-1.9881
"2015-11-05",2.4064,-3.6162
"2015-11-06",7.4178,-4.372
"2015-11-07",0.3467,-2.3335
"2015-11-08",0.0071,0.5188
"2015-11-09",7.8116,1.2038
"2015-11-10",1.4842,-2.7931
"2015-11-11",0,-3.9385
"2015-11-12",0.0581,-2.7498
"2015-11-13",0.1182,-0.6311
"2015-11-14",0.1975,3.3085
"2015-11-15",0.1524,2.154
"2015-11-16",0.0025,-3.5314
"2015-11-17",0.3878,-6.1319
"2015-11-18",0.3405,-2.694
"2015-11-19",20.1809,-1.0501
"2015-11-20",12.268,-5.1656
"2015-11-21",0.1388,-6.4114
"2015-11-22",0.7292,-0.9304
"2015-11-23",0.5441,1.4943
"2015-11-24",0.1024,0.6168
"2015-11-25",5.7337,-2.6196
"2015-11-26",0.2491,-10.7908
"2015-11-27",0.9014,-11.558
"2015-11-28",2.9716,-10.4907
"2015-11-29",0.7177,-11.2891
"2015-11-30",0,-10.7347
"2015-12-01",0.4823,-8.5224
"2015-12-02",2.1924,-5.3816
"2015-12-03",0.1557,-0.9682
"2015-12-04",0,-1.5666
"2015-12-05",0,-4.0478
"2015-12-06",0.6015,-1.4725
"2015-12-07",11.4349,1.5883
"2015-12-08",0,3.0785
"2015-12-09",0.2603,3.8656
"2015-12-10",11.0551,1.6237
"2015-12-11",0.2549,-4.8335
"2015-12-12",0.3045,-5.2974
"2015-12-13",3.3639,-3.305
"2015-12-14",7.065,-5.2375
"2015-12-15",1.3949,-7.8618
"2015-12-16",9.3494,-8.2702
"2015-12-17",1.3617,-10.5802
"2015-12-18",3.9858,-2.0338
"2015-12-19",1.5216,-0.191
"2015-12-20",9.3656,-3.0732
"2015-12-21",35.5811,-3.7283
"2015-12-22",15.0416,-4.8087
"2015-12-23",17.4055,-7.821
"2015-12-24",6.0239,-8.324
"2015-12-25",0,-10.9516
"2015-12-26",0,-12.3333
"2015-12-27",1.749,-11.2653
"2015-12-28",0.529,-10.4715
"2015-12-29",0.7773,-11.8608
"2015-12-30",1.7944,-13.3957
"2015-12-31",0,-13.6414
"2016-01-01",0.0804,-14.516
"2016-01-02",2.4068,-11.0335
"2016-01-03",0.643,-3.9031
"2016-01-04",0.533,-2.9473
"2016-01-05",2.4645,-2.9213
"2016-01-06",3.4829,-2.2655
"2016-01-07",0.0617,-4.5658
"2016-01-08",0,-7.3133
"2016-01-09",1.7843,-8.295
"2016-01-10",0,-11.0011
"2016-01-11",0,-11.4495
"2016-01-12",0.0607,-8.5661
"2016-01-13",0.7,-3.8923
"2016-01-14",7.2009,-8.179
"2016-01-15",8.7189,-7.4921
"2016-01-16",10.144,-6.2044
"2016-01-17",4.5296,-3.1796
"2016-01-18",12.7277,-3.4898
"2016-01-19",3.6541,-6.0616
"2016-01-20",11.5778,-5.6147
"2016-01-21",0.3488,-6.5738
"2016-01-22",0.5085,-1.5982
"2016-01-23",4.7174,-2.0118
"2016-01-24",7.1926,-4.9574
"2016-01-25",1.0608,-7.9911
"2016-01-26",0,-8.0788
"2016-01-27",0,-5.0558
"2016-01-28",6.9169,-1.3155
"2016-01-29",16.4789,-1.8724
"2016-01-30",16.2162,-5.6178
"2016-01-31",0.5866,-7.8552
"2016-02-01",1.0868,-10.8667
"2016-02-02",0,-12.1021
"2016-02-03",1.487,-10.8142
"2016-02-04",9.1727,-10.2384
"2016-02-05",1.1117,-5.6553
"2016-02-06",0.6569,-4.2063
"2016-02-07",0,-2.7895
"2016-02-08",0.1125,-1.3541
"2016-02-09",0,1.5281
"2016-02-10",0,1.4541
"2016-02-11",0.0926,2.3484
"2016-02-12",0,3.9331
"2016-02-13",0.1267,0.4247
"2016-02-14",15.6311,-0.9752
"2016-02-15",6.1343,1.4634
"2016-02-16",0,2.4297
"2016-02-17",1.4418,4.5494
"2016-02-18",16.0681,0.4252
"2016-02-19",1.4432,-0.71
"2016-02-20",6.3569,-3.1226
"2016-02-21",0.0926,-1.9236
"2016-02-22",2.1255,-5.602
"2016-02-23",0,-5.0266
"2016-02-24",0.1125,-3.3027
"2016-02-25",0.1693,0.0378
"2016-02-26",0,2.4575
"2016-02-27",0,2.2396
"2016-02-28",0.3251,-0.1402
"2016-02-29",4.9045,-1.4392
"2016-03-01",1.3706,0.9742
"2016-03-02",0,1.6986
"2016-03-03",0,4.2897
"2016-03-04",0.1037,4.8772
"2016-03-05",0.1037,5.7698
"2016-03-06",10.2492,0.7371
"2016-03-07",0.365,-2.0277
"2016-03-08",1.7374,-1.9467
"2016-03-09",11.0458,-1.0415
"2016-03-10",0.2058,4.4497
"2016-03-11",0.2642,6.4751
"2016-03-12",0.1664,4.5278
"2016-03-13",4.2542,2.6235
"2016-03-14",26.4349,-2.7251
"2016-03-15",13.4035,-5.298
"2016-03-16",21.505,-3.2298
"2016-03-17",8.2893,-2.6859
"2016-03-18",0.1817,-4.1765
"2016-03-19",0.704,-1.0268
"2016-03-20",0.9066,4.7178
"2016-03-21",1.0432,5.9932
"2016-03-22",13.2177,-0.3142
"2016-03-23",2.1479,-1.0066
"2016-03-24",7.4737,0.2869
